Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm6073955,2019-07-27,2019-07-27,,"Florence Pugh","The Falling","3 de enero de 1996"
2,nm8821891,2019-07-27,2019-07-27,,"Isabelle Grill","Midsommar","20 de septiembre de 1997"
3,nm1638321,2019-07-28,2019-07-28,,"Maya Hawke","Do Revenge","8 de julio de 1998"
4,nm3034501,2019-07-28,2019-07-28,,"Natalia Dyer","Stranger Things","13 de enero de 1995"
5,nm2605345,2019-07-28,2019-07-28,,"Gemma Arterton","Prince of Persia: The Sands of Time","2 de febrero de 1986"
6,nm0000233,2019-07-28,2019-07-28,,"Quentin Tarantino","Reservoir Dogs","27 de marzo de 1963"
7,nm4170048,2019-07-29,2019-07-29,,"Ari Aster","Hereditary","15 de julio de 1986"
8,nm2125482,2019-07-29,2019-07-29,,"Chloé Zhao","Nomadland","31 de marzo de 1982"
9,nm2251846,2019-07-29,2019-07-29,,"Joanna Kulig","Zimna wojna","24 de junio de 1982"
10,nm0271763,2019-08-01,2019-08-01,,"Edwige Fenech","Hostel: Part II","24 de diciembre de 1948"
11,nm5584702,2019-08-02,2019-08-02,,"Michalina Olszańska","Já, Olga Hepnarová","29 de junio de 1992"
12,nm1206844,2019-08-03,2019-08-03,,"Drew Goddard","The Martian","26 de febrero de 1975"
13,nm0435299,2019-08-04,2019-08-04,,"Meiko Kaji","Shurayuki-hime","24 de marzo de 1947"
14,nm2292661,2019-08-08,2019-08-08,,"Zoe Colletti","Scary Stories to Tell in the Dark","27 de noviembre de 2001"
15,nm0840754,2019-08-10,2019-08-10,,"Blanca Suárez","El bar","21 de octubre de 1988"
16,nm2811823,2019-10-06,2019-10-06,,"Sierra McCormick","The Vast of Night","28 de octubre de 1997"
17,nm2267725,2019-10-06,2019-10-06,,"Dora Madison","Dark Places","17 de octubre de 1990"
18,nm3976308,2019-10-06,2019-10-06,,"Joe Begos","Christmas Bloody Christmas",
19,nm3475396,2019-10-06,2019-10-06,,"Macarena García","Blancanieves","26 de abril de 1988"
20,nm1782299,2019-10-06,2019-10-06,,"Imogen Poots","Vivarium","3 de junio de 1989"
21,nm3211470,2019-10-06,2019-10-06,,"Robert Eggers","The Lighthouse","7 de julio de 1983"
22,nm9698919,2019-10-06,2019-10-06,,"Ginevra Francesconi","Una figlia","22 de abril de 2003"
23,nm1154749,2019-10-06,2019-10-06,,"Sofia Boutella","Kingsman: The Secret Service","3 de abril de 1982"
24,nm7603745,2019-10-06,2019-10-06,,"Sasha Lane","American Honey","29 de septiembre de 1995"
25,nm7346682,2019-10-07,2019-10-07,,"Daphné Patakia","Benedetta","8 de junio de 1992"
26,nm2356940,2019-10-07,2019-10-07,,"Hannah Murray","God Help the Girl","1 de julio de 1989"
27,nm0923266,2019-10-07,2019-10-07,,"Merritt Wever","Signs","11 de agosto de 1980"
28,nm1281415,2019-10-08,2019-10-08,,"Karine Teles","Bacurau","16 de agosto de 1978"
29,nm0001618,2019-10-11,2019-10-11,,"Joaquin Phoenix","Walk the Line","28 de octubre de 1974"
