Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt32915736,4,2026-08-26,"Neiked, Mae Muller, Polo G: Better Days","Neiked, Mae Muller, Polo G: Better Days",https://www.imdb.com/title/tt32915736,Videoclip,null,,2021,"Música",0,"2021-10-07",
tt34866681,3,2026-08-25,"Lucky","Lucky",https://www.imdb.com/title/tt34866681,Serie de TV,6.7,45,2026,"Drama, Crimen, Suspense",12276,"2026-07-15",
tt40523275,7,2026-08-25,"Los Días Libres","Los Días Libres",https://www.imdb.com/title/tt40523275,Película,6.2,84,2026,"Drama, Terror, Ciencia ficción",12,"2026-08-07","Lucila Mariani"
tt11832898,4,2026-08-25,"Cranberry Nights","Cranberry Nights",https://www.imdb.com/title/tt11832898,Corto,5.5,15,2020,"Corto, Drama",62,"2020-03-05","Sara Robin"
tt17519946,5,2026-08-25,"Rigoberta Bandini: Perra","Rigoberta Bandini: Perra",https://www.imdb.com/title/tt17519946,Videoclip,null,,2021,"Música",0,"2021-03-30","Elena Martín,Irene Moray"
tt0057669,7,2026-08-23,"Wanpaku ôji no Orochi taiji","Wanpaku ôji no Orochi taiji",https://www.imdb.com/title/tt0057669,Película,7.1,86,1963,"Animación, Aventura, Familiar, Fantasía",339,"1963-07-15","Yūgo Serikawa"
tt37504700,6,2026-08-23,"Cuando un río se convierte en mar","Quan un riu esdevé el mar",https://www.imdb.com/title/tt37504700,Película,6.5,183,2025,"Drama",22,"2025-10-28","Pere Vilà i Barceló"
tt0081536,6,2026-08-21,"Yo soy fotogénico","Sono fotogenico",https://www.imdb.com/title/tt0081536,Película,6.1,114,1980,"Comedia",613,"1980-03-16","Dino Risi"
tt9731392,6,2026-08-21,"Alizée: À cause de l'automne","Alizée: À cause de l'automne",https://www.imdb.com/title/tt9731392,Videoclip,7.4,4,2012,"Música",11,"2012-12-05","Arnaud Delord"
tt22084616,7,2026-08-20,"Spider-Man: Brand New Day","Spider-Man: Brand New Day",https://www.imdb.com/title/tt22084616,Película,8.0,145,2026,"Aventura, Ciencia ficción, Acción",264520,"2026-07-29","Destin Daniel Cretton"
tt40549228,7,2026-08-20,"Atlas de la desaparición","Atlas de la desaparición",https://www.imdb.com/title/tt40549228,Película,8.0,,2026,"Documental",12,"2026-03-13","Manuel Correa"
tt29232759,6,2026-08-20,"Surfing Einstein","Surfing Einstein",https://www.imdb.com/title/tt29232759,Película,null,75,2024,"Documental",0,"2024","Meritxell Campos Olivé"
tt8144830,4,2026-08-20,"The Lonely Island: Hero Song","The Lonely Island: Hero Song",https://www.imdb.com/title/tt8144830,Videoclip,7.0,3,2008,"Música",80,"2008-03-08","Akiva Schaffer"
tt34675596,4,2026-08-20,"Cape Fear","Cape Fear",https://www.imdb.com/title/tt34675596,Serie de TV,6.7,55,2026,"Crimen, Suspense, Drama",21212,"2026-06-05",
tt9447562,6,2026-08-19,"Santa Inocencia","Santa Inocencia",https://www.imdb.com/title/tt9447562,Película,7.3,66,2018,"Comedia, Drama",8,"2018-07-20","Meritxell Campos Olivé"
tt23725308,1,2026-08-19,"X: Breathless","X: Breathless",https://www.imdb.com/title/tt23725308,Videoclip,null,3,1983,"Música",0,"1983",
tt38875087,6,2026-08-18,"Los bobos","Los bobos",https://www.imdb.com/title/tt38875087,Película,7.3,95,2025,"Suspense",22,"2026-06-04","Sofía Jallinsky,Basovih Marinaro"
tt38065187,6,2026-08-18,"I love you, I leave you","I love you, I leave you",https://www.imdb.com/title/tt38065187,Película,8.0,94,2025,"Documental",34,"2025-11-06","Moris Freiburghaus"
tt0056482,4,2026-08-18,"Simbad, el marino","Arabian naito: Shindobaddo no bôken",https://www.imdb.com/title/tt0056482,Película,6.1,81,1962,"Animación, Acción, Aventura, Familiar, Fantasía",184,"1962-07-21","Yoshio Kuroda,Taiji Yabushita"
tt27200708,8,2026-08-18,"Mother Mary","Mother Mary",https://www.imdb.com/title/tt27200708,Película,5.4,111,2026,"Drama, Música, Suspense",9237,"2026-07-31","David Lowery"
tt0054631,6,2026-08-17,"Anju to Zushiômaru","Anju to Zushiômaru",https://www.imdb.com/title/tt0054631,Película,6.3,83,1961,"Animación, Drama",125,"1961-07-19","Yūgo Serikawa,Taiji Yabushita"
tt1247682,2,2026-08-17,"Manuela","Manuela",https://www.imdb.com/title/tt1247682,Corto,5.4,23,2006,"Corto",5,"2006-03-17","Marco Castro"
tt28259230,3,2026-08-16,"Rita Ora: Don't Think Twice","Rita Ora: Don't Think Twice",https://www.imdb.com/title/tt28259230,Videoclip,5.3,,2023,"Música",32,"2023-06-30","Taika Waititi"
tt1466420,4,2026-08-16,"208 palabras","208 palabras",https://www.imdb.com/title/tt1466420,Corto,null,15,2007,"Corto, Drama",0,"2007-04-17","Avelina Prat"
tt7010638,4,2026-08-14,"Tempest","Tempest",https://www.imdb.com/title/tt7010638,Corto,null,4,2012,"Corto, Drama",0,"2012-04-01","Alberto Gastesi"
