Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0094862,2013-11-02,2013-11-02,,"Muñeco diabólico","Child's Play",https://www.imdb.com/title/tt0094862/,Película,6.7,87,1988,"Terror, Suspense",133766,1989-04-28,"Tom Holland",,
2,tt0497465,2013-11-02,2013-11-02,,"Vicky Cristina Barcelona","Vicky Cristina Barcelona",https://www.imdb.com/title/tt0497465/,Película,7.1,96,2008,"Comedia, Drama, Romance",282366,2008-09-19,"Woody Allen",,
3,tt0084825,2013-11-03,2013-11-03,,"Trick or Treats","Trick or Treats",https://www.imdb.com/title/tt0084825/,Película,3.9,91,1982,"Terror",1713,1982-10-29,"Gary Graver",,
4,tt0116225,2013-11-03,2013-11-03,,"2013: Rescate en L.A.","Escape from L.A.",https://www.imdb.com/title/tt0116225/,Película,5.7,101,1996,"Acción, Aventura, Ciencia ficción, Suspense",86832,1996-10-24,"John Carpenter",,
5,tt0228333,2013-11-03,2013-11-03,,"Fantasmas de Marte de John Carpenter","Ghosts of Mars",https://www.imdb.com/title/tt0228333/,Película,4.9,98,2001,"Acción, Terror, Ciencia ficción",62439,2001-10-26,"John Carpenter",,
6,tt0120877,2013-11-03,2013-11-03,,"Vampiros de John Carpenter","Vampires",https://www.imdb.com/title/tt0120877/,Película,6.1,108,1998,"Acción, Terror, Suspense",69037,1999-07-09,"John Carpenter",,
7,tt0113409,2013-11-03,2013-11-03,,"En la boca del miedo","In the Mouth of Madness",https://www.imdb.com/title/tt0113409/,Película,7.1,95,1994,"Drama, Fantasía, Terror, Misterio, Suspense",91481,1995-08-04,"John Carpenter",,
8,tt0093560,2013-11-03,2013-11-03,,"Una pandilla alucinante","The Monster Squad",https://www.imdb.com/title/tt0093560/,Película,6.9,82,1987,"Acción, Comedia, Fantasía, Terror",39706,1988-07-15,"Fred Dekker",,
9,tt0089167,2013-11-03,2013-11-03,,"Vacaciones locas, locas, locas","Fraternity Vacation",https://www.imdb.com/title/tt0089167/,Película,5.3,94,1985,"Comedia",3126,1985-04-12,"James Frawley",,
10,tt0086465,2013-11-03,2013-11-03,,"Entre pillos anda el juego","Trading Places",https://www.imdb.com/title/tt0086465/,Película,7.5,116,1983,"Comedia",184399,1983-10-26,"John Landis",,
11,tt0107606,2013-11-03,2013-11-03,,"Regreso inesperado","Mother's Boys",https://www.imdb.com/title/tt0107606/,Película,5.4,96,1993,"Drama, Suspense",3974,1995-09-26,"Yves Simoneau",,
12,tt0089798,2013-11-03,2013-11-03,,"Perfect","Perfect",https://www.imdb.com/title/tt0089798/,Película,4.8,115,1985,"Drama, Romance",6721,1985-11-01,"James Bridges",,
13,tt0236784,2013-11-03,2013-11-03,,"El sastre de Panamá","The Tailor of Panama",https://www.imdb.com/title/tt0236784/,Película,6.1,109,2001,"Drama, Suspense",33622,2001-06-15,"John Boorman",,
14,tt0087359,2013-11-03,2013-11-03,,"El desafío americano","Grandview, U.S.A.",https://www.imdb.com/title/tt0087359/,Película,5.5,97,1984,"Drama",2566,1984-08-03,"Randal Kleiser",,
15,tt0085871,2013-11-03,2013-11-03,,"Cartas de amor","Love Letters",https://www.imdb.com/title/tt0085871/,Película,5.8,88,1983,"Drama, Romance",1192,1984-04-27,"Amy Holden Jones",,
16,tt0057115,2013-11-03,2013-11-03,,"La gran evasión","The Great Escape",https://www.imdb.com/title/tt0057115/,Película,8.2,172,1963,"Aventura, Drama, Suspense, Bélico",279791,1963-11-11,"John Sturges",,
17,tt0056172,2013-11-03,2013-11-03,,"Lawrence de Arabia","Lawrence of Arabia",https://www.imdb.com/title/tt0056172/,Película,8.3,227,1962,"Aventura, Biografía, Drama, Bélico",345697,1963-10-01,"David Lean",,
18,tt0059578,2013-11-03,2013-11-03,,"La muerte tenía un precio","Per qualche dollaro in più",https://www.imdb.com/title/tt0059578/,Película,8.2,132,1965,"Drama, Del oeste",303752,1965-12-18,"Sergio Leone",,
19,tt0025316,2013-11-03,2013-11-03,,"Sucedió una noche","It Happened One Night",https://www.imdb.com/title/tt0025316/,Película,8.1,105,1934,"Comedia, Romance",120496,1934-02-22,"Frank Capra",,
20,tt0061512,2013-11-03,2013-11-03,,"La leyenda del indomable","Cool Hand Luke",https://www.imdb.com/title/tt0061512/,Película,8.0,127,1967,"Crimen, Drama",197261,1967-12-01,"Stuart Rosenberg",,
21,tt0055031,2013-11-03,2013-11-03,,"Vencedores o vencidos","Judgment at Nuremberg",https://www.imdb.com/title/tt0055031/,Película,8.3,179,1961,"Drama, Historia, Bélico",98446,1961-12-18,"Stanley Kramer",,
22,tt0064115,2013-11-03,2013-11-03,,"Dos hombres y un destino","Butch Cassidy and the Sundance Kid",https://www.imdb.com/title/tt0064115/,Película,8.0,110,1969,"Aventura, Biografía, Crimen, Drama, Del oeste",239596,1977-06-22,"George Roy Hill",,
23,tt0032551,2013-11-03,2013-11-03,,"Las uvas de la ira","The Grapes of Wrath",https://www.imdb.com/title/tt0032551/,Película,8.1,129,1940,"Drama",107588,1940-03-15,"John Ford",,
24,tt0395169,2013-11-03,2013-11-03,,"Hotel Rwanda","Hotel Rwanda",https://www.imdb.com/title/tt0395169/,Película,8.1,121,2004,"Biografía, Drama, Historia, Bélico",394612,2005-02-25,"Terry George",,
25,tt0046912,2013-11-03,2013-11-03,,"Crimen perfecto","Dial M for Murder",https://www.imdb.com/title/tt0046912/,Película,8.1,105,1954,"Crimen, Drama, Misterio, Suspense",206848,1954-05-29,"Alfred Hitchcock",,
26,tt0758758,2013-11-03,2013-11-03,,"Hacia rutas salvajes","Into the Wild",https://www.imdb.com/title/tt0758758/,Película,8.0,148,2007,"Aventura, Biografía, Drama",699259,2008-01-25,"Sean Penn",,
27,tt0469494,2013-11-03,2013-11-03,,"Pozos de ambición","There Will Be Blood",https://www.imdb.com/title/tt0469494/,Película,8.2,158,2007,"Drama",718204,2008-02-15,"Paul Thomas Anderson",,
28,tt0038355,2013-11-03,2013-11-03,,"El sueño eterno","The Big Sleep",https://www.imdb.com/title/tt0038355/,Película,7.9,114,1946,"Crimen, Drama, Cine negro, Misterio, Suspense",94926,1946-08-31,"Howard Hawks",,
29,tt2209418,2013-11-03,2013-11-03,,"Antes del anochecer","Before Midnight",https://www.imdb.com/title/tt2209418/,Película,7.9,109,2013,"Drama, Romance",188108,2013-06-28,"Richard Linklater",,
30,tt0054997,2013-11-03,2013-11-03,,"El buscavidas","The Hustler",https://www.imdb.com/title/tt0054997/,Película,7.9,134,1961,"Drama, Deporte",90468,1961-09-25,"Robert Rossen",,
31,tt0056217,2013-11-03,2013-11-03,,"El hombre que mató a Liberty Valance","The Man Who Shot Liberty Valance",https://www.imdb.com/title/tt0056217/,Película,8.1,123,1962,"Drama, Del oeste",89678,1962-04-22,"John Ford",,
32,tt0052561,2013-11-03,2013-11-03,,"Anatomía de un asesinato","Anatomy of a Murder",https://www.imdb.com/title/tt0052561/,Película,8.0,161,1959,"Drama, Misterio",78609,1959-07-13,"Otto Preminger",,
33,tt0056218,2013-11-03,2013-11-03,,"El mensajero del miedo","The Manchurian Candidate",https://www.imdb.com/title/tt0056218/,Película,7.9,126,1962,"Drama, Suspense",85228,1963-05-31,"John Frankenheimer",,
34,tt0047528,2013-11-03,2013-11-03,,"La strada","La strada",https://www.imdb.com/title/tt0047528/,Película,8.0,108,1954,"Drama",70422,1954-12-30,"Federico Fellini",,
35,tt0338564,2013-11-03,2013-11-03,,"Juego sucio","Mou gaan dou",https://www.imdb.com/title/tt0338564/,Película,8.0,101,2002,"Crimen, Drama, Misterio, Suspense",139266,2002-12-12,"Wai Keung Lau, Alan Mak",,
36,tt0046359,2013-11-03,2013-11-03,,"Traidor en el infierno","Stalag 17",https://www.imdb.com/title/tt0046359/,Película,7.9,120,1953,"Comedia, Drama, Bélico",60526,1953-07,"Billy Wilder",,
37,tt0072684,2013-11-03,2013-11-03,,"Barry Lyndon","Barry Lyndon",https://www.imdb.com/title/tt0072684/,Película,8.1,185,1975,"Aventura, Drama, Bélico",207970,1976-11-15,"Stanley Kubrick",,
38,tt0069281,2013-11-03,2013-11-03,,"La huella","Sleuth",https://www.imdb.com/title/tt0069281/,Película,7.9,138,1972,"Misterio, Suspense",53267,1973-05-05,"Joseph L. Mankiewicz",,
39,tt0796366,2013-11-03,2013-11-03,,"Star Trek","Star Trek",https://www.imdb.com/title/tt0796366/,Película,7.9,127,2009,"Acción, Aventura, Ciencia ficción",640981,2009-05-08,"J.J. Abrams",,
40,tt0044081,2013-11-03,2013-11-03,,"Un tranvía llamado deseo","A Streetcar Named Desire",https://www.imdb.com/title/tt0044081/,Película,7.9,122,1951,"Drama",119553,1956-10-04,"Elia Kazan",,
41,tt0095953,2013-11-03,2013-11-03,,"Rain Man","Rain Man",https://www.imdb.com/title/tt0095953/,Película,8.0,133,1988,"Drama",589197,1989-03-10,"Barry Levinson",,
42,tt1255953,2013-11-03,2013-11-03,,"Incendios","Incendies",https://www.imdb.com/title/tt1255953/,Película,8.3,131,2010,"Drama, Misterio, Bélico",258571,2011-03-11,"Denis Villeneuve",,
43,tt1136608,2013-11-03,2013-11-03,,"Distrito 9","District 9",https://www.imdb.com/title/tt1136608/,Película,7.9,112,2009,"Acción, Ciencia ficción, Suspense",757226,2009-09-11,"Neill Blomkamp",,
44,tt0087544,2013-11-03,2013-11-03,,"Nausicaä del Valle del Viento","Kaze no tani no Naushika",https://www.imdb.com/title/tt0087544/,Película,8.0,117,1984,"Animación, Aventura, Ciencia ficción",199150,1988-06-07,"Hayao Miyazaki",,
45,tt0079944,2013-11-03,2013-11-03,,"Stalker","Stalker",https://www.imdb.com/title/tt0079944/,Película,8.0,162,1979,"Drama, Ciencia ficción",157839,1984-11-05,"Andrei Tarkovsky",,
46,tt0070511,2013-11-03,2013-11-03,,"Papillon","Papillon",https://www.imdb.com/title/tt0070511/,Película,8.0,151,1973,"Biografía, Crimen, Drama",146893,1974-10-16,"Franklin J. Schaffner",,
47,tt0082084,2013-11-03,2013-11-03,,"Cumpleaños sangriento","Bloody Birthday",https://www.imdb.com/title/tt0082084/,Película,5.7,85,1981,"Terror, Suspense",6389,1984-01-27,"Ed Hunt",,
48,tt1151410,2013-11-03,2013-11-03,,"Tanner Hall","Tanner Hall",https://www.imdb.com/title/tt1151410/,Película,5.7,96,2009,"Drama, Romance",4195,2015-01-15,"Francesca Gregorini, Tatiana von Fürstenberg",,
49,tt0905372,2013-11-03,2013-11-03,,"La cosa (The Thing)","The Thing",https://www.imdb.com/title/tt0905372/,Película,6.3,103,2011,"Terror, Misterio, Ciencia ficción",155697,2011-10-21,"Matthijs van Heijningen Jr.",,
50,tt2139843,2013-11-03,2013-11-03,,"Electrick Children","Electrick Children",https://www.imdb.com/title/tt2139843/,Película,6.7,96,2012,"Drama",6532,2012-07-13,"Rebecca Thomas",,
51,tt0381681,2013-11-03,2013-11-03,,"Antes del atardecer","Before Sunset",https://www.imdb.com/title/tt0381681/,Película,8.1,80,2004,"Drama, Romance",319282,2004-10-08,"Richard Linklater",,
52,tt1408101,2013-11-03,2013-11-03,,"Star Trek: En la oscuridad","Star Trek Into Darkness",https://www.imdb.com/title/tt1408101/,Película,7.7,132,2013,"Acción, Aventura, Ciencia ficción",512345,2013-07-05,"J.J. Abrams",,
53,tt0097259,2013-11-03,2013-11-03,,"Muerte cálida","Easy Kill",https://www.imdb.com/title/tt0097259/,Película,3.7,89,1990,"Acción, Crimen, Suspense",137,1990-04-12,"Josh Spencer",,
54,tt0396470,2013-11-04,2013-11-04,,"El atraco","El atraco",https://www.imdb.com/title/tt0396470/,Película,6.8,126,2004,"Suspense, Crimen, Drama",190,2004-02-05,"Paolo Agazzi",,
55,tt0275681,2013-11-04,2013-11-04,,"Silencio roto","Silencio roto",https://www.imdb.com/title/tt0275681/,Película,6.7,110,2001,"Aventura, Drama, Suspense, Bélico",769,2001-04-27,"Montxo Armendáriz",,
56,tt0455584,2013-11-04,2013-11-04,,"La caja Kovak","The Kovak Box",https://www.imdb.com/title/tt0455584/,Película,5.8,102,2006,"Misterio, Ciencia ficción, Suspense",4623,2007-01-12,"Daniel Monzón",,
57,tt0115772,2013-11-04,2013-11-04,,"La buena vida","La buena vida",https://www.imdb.com/title/tt0115772/,Película,6.6,107,1996,"Comedia, Drama",837,1996-12-13,"David Trueba",,
58,tt0119889,2013-11-04,2013-11-04,,"El fantasma de la ópera","Il fantasma dell'opera",https://www.imdb.com/title/tt0119889/,Película,4.3,103,1998,"Terror",6285,1998-11-20,"Dario Argento",,
59,tt0418819,2013-11-04,2013-11-04,,"La tierra de los muertos vivientes","Land of the Dead",https://www.imdb.com/title/tt0418819/,Película,6.2,93,2005,"Terror, Ciencia ficción, Suspense",105547,2005-09-09,"George A. Romero",,
60,tt0464105,2013-11-04,2013-11-04,,"Un café en cualquier esquina","Man Push Cart",https://www.imdb.com/title/tt0464105/,Película,7.0,87,2005,"Drama",3926,2006-08-18,"Ramin Bahrani",,
61,tt0340096,2013-11-04,2013-11-04,,"La mujer del emperador","The Emperor's Wife",https://www.imdb.com/title/tt0340096/,Película,5.3,100,2003,"Aventura, Drama, Fantasía, Romance",684,2003-09-03,"Julien Vrebos",,
62,tt0416214,2013-11-04,2013-11-04,,"Semen, una historia de amor","Semen, una historia de amor",https://www.imdb.com/title/tt0416214/,Película,5.6,89,2005,"Comedia, Romance",603,2005-07-15,"Daniela Fejerman, Inés París",,
63,tt0285175,2013-11-04,2013-11-04,,"Caos","Havoc",https://www.imdb.com/title/tt0285175/,Película,5.4,85,2005,"Crimen, Drama",22256,2005-10-16,"Barbara Kopple",,
64,tt2343713,2013-11-04,2013-11-04,,"Sexy Baby","Sexy Baby",https://www.imdb.com/title/tt2343713/,Película,6.0,84,2012,"Documental",1194,2014-12-23,"Jill Bauer, Ronna Gradus",,
65,tt0085959,2013-11-04,2013-11-04,,"El sentido de la vida","The Meaning of Life",https://www.imdb.com/title/tt0085959/,Película,7.5,107,1983,"Comedia, Musical",130774,1983-03-31,"Terry Jones",,
66,tt0063678,2013-11-04,2013-11-04,,"Teorema","Teorema",https://www.imdb.com/title/tt0063678/,Película,7.0,98,1968,"Drama, Misterio",17171,1976-04-19,"Pier Paolo Pasolini",,
67,tt0396171,2013-11-04,2013-11-04,,"El perfume: Historia de un asesino","Perfume: The Story of a Murderer",https://www.imdb.com/title/tt0396171/,Película,7.5,147,2006,"Crimen, Drama, Fantasía",280831,2006-11-24,"Tom Tykwer",,
68,tt0082089,2013-11-04,2013-11-04,,"Fuego en el cuerpo","Body Heat",https://www.imdb.com/title/tt0082089/,Película,7.4,113,1981,"Crimen, Drama, Romance, Suspense",44743,2003-01-01,"Lawrence Kasdan",,
69,tt0060268,2013-11-04,2013-11-04,,"Callejón sin salida","Cul-de-sac",https://www.imdb.com/title/tt0060268/,Película,7.0,112,1966,"Comedia, Drama, Suspense",15079,1968-11-21,"Roman Polanski",,
70,tt0055018,2013-11-04,2013-11-04,,"Suspense","The Innocents",https://www.imdb.com/title/tt0055018/,Película,7.7,100,1961,"Drama, Terror, Misterio, Suspense",36539,1961-12-15,"Jack Clayton",,
71,tt2368749,2013-11-04,2013-11-04,,"Después de Lucía","Después de Lucía",https://www.imdb.com/title/tt2368749/,Película,7.1,103,2012,"Drama",7430,2012-10-03,"Michel Franco",,
